order_id,order_date,customer_id,product_id,region_id,quantity,sales_amount,profit
1,2024-04-04,37,199,2,5,5890,1079.26
2,2023-08-16,844,140,1,5,4030,786.62
3,2023-07-02,70,62,2,5,5535,552.21
4,2024-01-09,457,14,1,4,228,45.24
5,2023-01-22,29,162,1,2,598,109.02
6,2024-10-29,387,133,4,3,762,189.84
7,2024-10-17,377,157,1,4,4840,922.52
8,2024-01-18,455,100,3,2,1072,137.9
9,2023-06-15,917,67,2,1,708,201.22
10,2023-12-11,14,86,1,5,295,83.35
11,2024-10-24,218,7,3,2,484,57.35
12,2024-11-01,765,6,1,2,1482,140.79
13,2024-07-29,564,3,2,1,53,11.95
14,2024-04-18,428,12,4,2,1724,474.45
15,2023-09-20,557,44,4,3,1623,90.74
16,2024-03-13,984,1,2,4,5496,886.43
17,2024-05-12,577,149,1,3,3552,1014.86
18,2023-04-25,283,151,3,4,288,67.39
19,2023-06-10,393,193,2,4,1052,219.18
20,2023-07-24,560,1,2,1,923,65.6
21,2023-12-08,310,73,3,4,1072,317.26
22,2023-07-10,331,31,4,5,190,28.03
23,2023-07-26,904,64,4,5,2810,805.98
24,2024-08-21,551,145,1,5,5605,1453.98
25,2024-12-08,610,26,1,5,6320,1503.2
26,2023-05-21,239,157,3,2,2704,732.49
27,2024-11-10,197,44,2,5,715,83.67
28,2024-12-04,19,164,3,3,4248,1036.0
29,2024-09-08,280,107,4,5,360,47.57
30,2023-10-16,638,112,4,1,843,204.01
31,2023-12-27,146,22,4,2,290,59.99
32,2024-03-21,203,8,3,4,3188,933.3
33,2023-04-12,825,11,4,4,1400,209.16
34,2023-12-26,29,176,4,2,2214,212.66
35,2023-04-26,902,52,3,2,1436,423.71
36,2024-11-15,880,92,1,4,352,48.42
37,2023-12-08,619,44,4,2,1282,368.28
38,2023-05-04,645,129,4,1,490,25.53
39,2024-03-19,793,14,2,2,530,117.04
40,2024-05-15,726,24,4,1,1048,206.75
41,2024-03-13,272,74,3,3,4008,1019.43
42,2023-02-17,774,76,4,5,7080,1296.68
43,2024-06-15,938,107,1,4,1636,289.05
44,2023-02-24,699,16,2,4,4260,834.3
45,2023-07-10,42,69,1,3,594,105.92
46,2024-10-01,186,160,2,2,2210,242.02
47,2023-03-17,49,131,2,4,5904,1330.55
48,2023-11-18,869,51,2,4,5108,1372.36
49,2024-12-26,828,134,4,1,175,43.26
50,2023-10-31,663,129,3,3,2133,331.28
51,2023-07-06,816,172,3,4,4036,872.05
52,2024-04-17,548,116,3,5,2590,189.8
53,2024-06-15,597,163,1,3,3582,799.41
54,2024-08-30,914,163,2,1,300,39.68
55,2023-06-01,234,70,1,3,4197,974.65
56,2024-05-01,709,84,2,3,498,78.32
57,2024-11-05,593,126,4,5,5685,571.46
58,2024-12-05,407,46,3,3,381,37.9
59,2023-07-07,574,139,4,4,1684,280.93
60,2024-03-21,669,157,3,4,240,43.9
61,2024-09-17,649,16,3,3,333,38.74
62,2023-07-06,786,38,2,3,3627,647.59
63,2023-02-22,681,183,2,5,170,20.38
64,2023-03-25,541,65,3,1,1079,240.95
65,2024-05-24,508,103,4,4,5492,1199.15
66,2024-04-26,282,193,2,4,3328,424.96
67,2024-12-25,995,158,3,2,2310,560.27
68,2023-06-17,176,36,1,3,4359,534.87
69,2024-04-25,964,115,4,5,5135,616.07
70,2023-05-27,574,44,1,3,3267,867.25
71,2024-02-07,718,138,2,1,504,88.81
72,2024-01-15,284,9,1,4,4772,464.64
73,2023-02-24,802,150,1,1,73,9.59
74,2024-01-11,584,35,4,1,1334,118.23
75,2024-12-10,305,121,3,4,1412,350.91
76,2023-10-04,203,108,2,2,2856,596.0
77,2023-11-15,973,123,2,3,147,13.14
78,2023-03-20,328,188,3,5,5520,741.32
79,2023-01-14,775,16,3,4,5496,373.34
80,2023-06-29,26,113,1,3,4065,782.79
81,2023-01-15,156,166,4,1,239,16.64
82,2023-09-16,584,124,3,4,1804,348.81
83,2024-01-09,237,196,3,4,1256,131.7
84,2024-07-05,949,103,3,4,2316,330.3
85,2023-04-17,367,81,4,1,960,156.32
86,2024-02-23,390,151,3,4,5460,719.55
87,2024-09-17,540,22,2,3,2631,560.47
88,2024-04-02,753,59,4,1,656,137.53
89,2024-02-24,927,182,3,5,6065,460.62
90,2024-08-27,390,115,3,5,5390,982.16
91,2023-03-26,488,195,4,2,2852,671.88
92,2024-01-11,285,125,4,2,2006,601.69
93,2023-10-25,941,132,1,2,2540,633.84
94,2024-05-21,899,44,4,1,559,164.73
95,2023-08-10,192,42,2,2,2276,448.93
96,2023-09-07,654,49,1,4,2792,836.17
97,2023-10-13,933,65,1,2,1590,329.64
98,2023-12-16,938,197,2,1,311,17.87
99,2023-03-30,256,188,3,3,1098,100.07
100,2023-12-15,635,96,3,3,1590,435.24
101,2023-11-20,31,20,2,4,5124,1166.11
102,2023-04-06,542,188,4,5,4125,917.95
103,2023-12-04,448,54,1,4,5252,1339.05
104,2023-01-24,196,50,3,4,3008,653.18
105,2024-07-14,290,113,1,4,440,58.81
106,2023-11-15,360,94,3,1,218,57.5
107,2024-10-12,299,98,4,5,6350,508.88
108,2023-11-24,931,62,3,2,1368,97.45
109,2024-08-07,491,151,4,4,3236,693.62
110,2024-01-12,902,135,1,1,511,100.36
111,2023-03-06,796,197,3,4,5248,986.18
112,2023-06-28,646,169,1,3,3168,854.96
113,2024-12-23,142,122,1,5,4830,1389.13
114,2024-10-30,565,144,2,1,745,118.89
115,2023-07-16,679,50,1,1,406,115.42
116,2024-02-10,681,2,3,3,699,94.79
117,2024-03-17,623,95,1,2,2090,223.54
118,2023-09-30,614,192,2,5,1410,169.42
119,2023-12-29,176,37,4,3,1608,337.93
120,2023-06-06,727,153,3,1,143,27.68
121,2024-08-18,412,70,3,4,4260,535.22
122,2024-12-05,279,193,1,4,1252,134.56
123,2023-07-26,787,47,2,1,1209,90.91
124,2023-11-10,315,76,1,3,4182,628.04
125,2023-12-13,865,47,4,2,48,6.27
126,2023-11-18,894,150,1,1,420,40.37
127,2023-09-07,742,116,2,2,438,99.62
128,2024-02-22,145,161,4,5,4985,723.07
129,2024-06-08,680,102,1,1,1063,104.86
130,2023-07-27,322,160,2,5,4910,700.33
131,2023-10-18,254,92,3,3,4086,439.66
132,2024-12-02,699,7,4,5,1605,312.14
133,2024-02-15,404,65,1,1,1079,202.38
134,2023-11-24,32,118,3,1,626,175.79
135,2024-12-17,953,103,3,2,280,58.56
136,2024-10-02,105,148,4,3,2586,746.83
137,2023-10-28,402,150,1,5,6510,1805.43
138,2023-10-04,198,39,1,4,3684,1060.24
139,2024-05-30,331,175,3,2,2500,367.06
140,2024-04-01,173,106,4,1,791,184.0
141,2023-06-05,82,99,1,5,5685,612.74
142,2023-03-08,255,145,3,5,3045,550.4
143,2023-03-05,752,174,3,2,1056,211.52
144,2023-10-20,828,136,3,4,3948,637.94
145,2023-12-19,344,151,3,4,3752,933.25
146,2023-05-08,935,52,1,1,870,248.1
147,2023-02-04,636,50,4,4,3580,970.16
148,2023-03-05,996,32,3,2,1570,413.41
149,2023-03-03,368,105,1,1,555,122.8
150,2023-03-06,148,122,4,2,862,43.17
151,2023-11-16,528,48,3,1,547,41.05
152,2023-01-03,343,12,4,1,840,245.35
153,2024-02-29,111,166,4,2,524,64.16
154,2023-06-15,434,102,3,4,300,58.89
155,2023-06-18,421,195,2,2,458,72.12
156,2023-04-06,516,71,2,4,4048,568.34
157,2023-10-29,290,78,4,5,4940,1365.9
158,2024-12-20,43,94,4,3,3987,494.84
159,2023-06-22,111,149,2,4,5936,825.98
160,2023-08-25,415,142,4,5,3625,252.37
161,2023-04-24,138,136,1,5,6475,327.55
162,2024-02-23,991,190,1,5,6985,842.76
163,2023-12-17,810,60,1,5,3940,668.18
164,2023-08-18,128,24,2,1,1164,181.72
165,2024-03-29,302,98,2,3,2655,265.71
166,2024-12-19,636,30,1,1,80,20.01
167,2023-12-18,448,82,4,1,1153,193.63
168,2024-08-05,36,133,3,3,2325,214.65
169,2024-05-25,997,185,3,1,1172,324.96
170,2023-09-22,793,34,2,1,263,46.95
171,2024-07-26,734,29,2,4,2420,321.05
172,2024-06-03,817,79,2,4,5012,1212.26
173,2023-05-02,296,89,3,2,56,13.91
174,2023-01-02,31,64,4,2,2960,750.49
175,2023-03-05,787,101,2,1,1175,228.62
176,2023-01-10,224,27,4,4,1232,100.24
177,2023-12-18,284,30,2,3,2388,322.89
178,2023-10-16,635,51,2,4,2528,379.84
179,2023-02-05,359,36,4,1,393,109.41
180,2024-08-11,809,109,4,4,3756,788.8
181,2024-03-03,854,33,3,1,861,117.84
182,2023-06-06,500,23,3,5,5530,629.06
183,2023-07-15,756,91,4,1,1354,251.08
184,2024-07-01,33,106,4,3,4290,1037.73
185,2024-01-08,748,13,1,4,5048,480.86
186,2023-09-15,50,7,4,3,492,61.69
187,2023-10-28,668,142,3,1,260,76.43
188,2024-12-23,956,180,1,5,4490,288.81
189,2024-03-02,43,60,4,1,1344,216.33
190,2023-10-06,469,100,4,4,4976,752.23
191,2024-04-17,245,48,1,3,3606,697.05
192,2023-12-29,688,157,1,5,2235,219.54
193,2023-07-14,143,57,1,3,3420,379.05
194,2023-05-27,354,81,4,2,2918,763.47
195,2024-10-13,344,55,3,5,960,101.44
196,2024-12-12,216,200,4,3,2646,685.5
197,2024-11-06,415,30,3,5,4560,849.27
198,2023-02-28,248,191,4,3,2715,313.61
199,2023-05-28,862,33,2,5,940,64.15
200,2023-05-04,534,20,2,3,4239,742.59
201,2024-03-19,780,169,1,1,1103,148.56
202,2024-06-18,464,44,4,1,200,10.89
203,2024-11-17,988,141,4,4,3988,690.61
204,2023-09-03,341,120,1,1,1211,323.99
205,2024-05-12,154,187,2,5,5035,1428.13
206,2023-02-22,604,147,1,1,1175,112.01
207,2023-07-25,818,103,3,3,1932,483.24
208,2023-09-02,976,189,1,4,3060,705.0
209,2023-11-15,561,197,4,5,1985,148.7
210,2024-05-24,813,49,1,3,705,157.83
211,2023-03-17,731,127,2,3,495,127.08
212,2024-03-16,542,200,1,5,1740,413.81
213,2024-02-24,567,84,3,4,2900,405.4
214,2024-02-29,844,93,3,3,465,93.62
215,2023-12-09,405,33,1,5,2800,801.57
216,2023-06-29,94,44,2,3,3693,1101.53
217,2024-02-15,503,83,4,1,1191,113.8
218,2023-02-28,91,152,3,3,2958,710.51
219,2023-02-25,93,190,3,1,1111,152.36
220,2024-03-04,369,167,4,1,767,202.54
221,2024-08-11,744,161,3,1,127,10.43
222,2023-09-19,276,162,4,4,428,75.7
223,2023-06-13,273,140,1,1,168,38.37
224,2024-11-30,152,173,1,2,2720,278.81
225,2024-11-08,692,177,3,1,1266,95.47
226,2024-03-13,913,1,4,3,3036,310.41
227,2023-03-14,6,153,3,1,990,205.77
228,2024-08-05,401,138,1,2,172,47.37
229,2024-04-30,627,192,3,5,5590,1018.9
230,2024-09-25,406,105,4,2,2666,201.23
231,2024-09-18,63,98,2,3,4392,651.17
232,2024-01-08,20,153,4,1,384,30.33
233,2023-10-01,337,171,3,5,5710,883.31
234,2024-09-26,594,20,2,3,765,58.94
235,2024-12-17,946,193,2,4,2524,261.37
236,2024-05-16,879,60,2,1,77,20.23
237,2024-01-26,196,56,3,4,5700,1255.51
238,2024-09-17,972,44,4,4,3308,972.3
239,2023-01-31,735,20,2,2,1688,471.25
240,2024-08-04,838,34,2,1,1030,176.46
241,2024-02-14,893,169,2,1,451,94.77
242,2024-10-31,949,126,1,5,1565,384.39
243,2024-10-27,762,73,1,2,2482,249.59
244,2023-03-20,736,85,2,5,1970,551.5
245,2023-11-10,4,103,4,1,837,152.35
246,2023-10-01,720,57,3,4,4036,860.17
247,2023-11-20,958,174,2,3,4416,547.97
248,2024-05-15,223,39,1,4,316,90.04
249,2024-07-08,680,175,1,5,5990,965.45
250,2023-11-11,980,122,3,4,156,41.43
251,2024-04-23,411,189,2,2,1540,249.67
252,2023-07-26,665,104,2,5,5220,1218.87
253,2024-07-03,671,6,4,5,4570,1024.2
254,2023-03-04,459,126,2,4,2308,251.78
255,2024-08-14,549,62,2,5,6215,1054.4
256,2024-08-21,715,150,2,1,1041,101.78
257,2024-11-19,59,169,1,4,2852,368.28
258,2023-03-08,615,73,3,5,2295,387.2
259,2023-01-02,336,94,3,3,4374,489.1
260,2024-11-26,136,152,4,2,2452,626.72
261,2024-05-19,440,120,3,2,2338,182.61
262,2024-02-07,878,38,4,1,349,68.02
263,2023-06-08,106,75,2,3,2079,270.68
264,2024-07-20,695,77,3,2,2806,629.0
265,2023-08-16,606,143,3,3,2754,733.22
266,2024-07-06,481,161,2,2,1784,344.72
267,2023-04-22,4,87,1,2,2344,510.39
268,2023-10-21,361,38,1,4,1020,130.03
269,2023-02-23,552,176,2,4,5712,300.88
270,2023-06-01,983,68,4,5,3660,741.59
271,2024-03-04,915,108,2,5,3900,923.92
272,2023-07-01,673,20,2,5,2150,502.16
273,2023-10-04,496,199,1,3,1269,119.15
274,2024-02-14,788,126,3,1,597,80.31
275,2024-11-15,495,100,1,3,2169,354.12
276,2023-07-08,93,8,3,3,1950,373.5
277,2024-06-18,814,12,1,2,2776,577.9
278,2024-03-26,603,156,2,3,1464,363.2
279,2023-04-24,608,111,3,2,2366,646.38
280,2024-10-02,619,1,2,5,1185,132.69
281,2024-12-27,763,179,3,5,2035,203.12
282,2023-03-14,822,104,3,2,818,47.94
283,2023-09-15,272,172,1,5,3210,464.15
284,2024-12-08,92,53,1,5,2765,145.39
285,2024-03-05,703,53,4,5,5020,1406.25
286,2024-07-02,124,25,3,5,380,63.12
